example_id                                                                                       | status  | run_time        |
------------------------------------------------------------------------------------------------ | ------- | --------------- |
./spec/checkout_spec.rb[1:1:1:1]                                                                 | passed  | 0.00038 seconds |
./spec/checkout_spec.rb[1:1:2:1]                                                                 | passed  | 0.00009 seconds |
./spec/checkout_spec.rb[1:1:2:2:1]                                                               | passed  | 0.00007 seconds |
./spec/checkout_spec.rb[1:1:3:1]                                                                 | passed  | 0.00008 seconds |
./spec/checkout_spec.rb[1:1:3:2:1]                                                               | passed  | 0.00007 seconds |
./spec/checkout_spec.rb[1:1:4:1]                                                                 | passed  | 0.00007 seconds |
./spec/checkout_spec.rb[1:1:5:1]                                                                 | passed  | 0.00007 seconds |
./spec/checkout_spec.rb[1:1:6:1]                                                                 | pending | 0.016 seconds   |
/home/ben/Downloads/backend-code-test__1_ (6)/backend-code-test/spec/checkout_spec.rb[1:1:1:1]   | failed  | 0.00052 seconds |
/home/ben/Downloads/backend-code-test__1_ (6)/backend-code-test/spec/checkout_spec.rb[1:1:2:1]   | failed  | 0.00017 seconds |
/home/ben/Downloads/backend-code-test__1_ (6)/backend-code-test/spec/checkout_spec.rb[1:1:2:2:1] | failed  | 0.00014 seconds |
/home/ben/Downloads/backend-code-test__1_ (6)/backend-code-test/spec/checkout_spec.rb[1:1:3:1]   | failed  | 0.00013 seconds |
/home/ben/Downloads/backend-code-test__1_ (6)/backend-code-test/spec/checkout_spec.rb[1:1:3:2:1] | failed  | 0.00016 seconds |
/home/ben/Downloads/backend-code-test__1_ (6)/backend-code-test/spec/checkout_spec.rb[1:1:4:1]   | failed  | 0.00013 seconds |
/home/ben/Downloads/backend-code-test__1_ (6)/backend-code-test/spec/checkout_spec.rb[1:1:5:1]   | failed  | 0.00013 seconds |
/home/ben/Downloads/backend-code-test__1_ (6)/backend-code-test/spec/checkout_spec.rb[1:1:6:1]   | pending | 0.00016 seconds |
